filename,job_name,selected_gpu_id,selected_gpu_type,runtime_on_gpu,job_jct,gpu_milli,A100,GTX2080Ti,V100,ddl,frag_size,frag_size_runtime,frag_size_jct
gavel_[0-20],openb-pod-3246,0,A100,5756.999999999999,6878.999999999999,590,5757.0,11097,14806,inf,225.50000000000003,1298203.5,1551214.5
gavel_[0-20],openb-pod-1918,2,A100,6416.0,7594.0,650,6416.0,12800,16238,inf,192.50000000000003,1235080.0000000002,1461845.0000000002
gavel_[0-20],openb-pod-2677,4,A100,6936.0,8351.0,230,6936.0,9945,17310,inf,38.5,267036.0,321513.5
gavel_[0-20],openb-pod-2008,3,A100,7365.0,8893.0,320,7365.0,11168,17685,inf,34.0,250410.0,302362.0
gavel_[0-20],openb-pod-1426,1,A100,7443.0,9153.0,320,7443.0,13492,19231,inf,34.0,253062.0,311202.0
gavel_[0-20],openb-pod-2208,10,V100,12129.000000000002,12129.000000000002,320,4589.0,6747,12129,inf,34.0,412386.00000000006,412386.00000000006
gavel_[0-20],openb-pod-3380,11,V100,14584.000000000002,14584.000000000002,160,5868.0,9341,14584,inf,0.0,0.0,0.0
gavel_[0-20],openb-pod-3043,8,GTX2080Ti,21668.0,24883.0,810,11166.0,21668,29540,28770.0,161.50000000000003,3499382.0000000005,4018604.500000001
gavel_[0-20],openb-pod-2722,5,GTX2080Ti,32091.000000000007,35306.00000000001,320,20410.0,32091,54074,inf,34.0,1091094.0000000002,1200404.0000000002
gavel_[0-20],openb-pod-2154,7,GTX2080Ti,38827.99999999999,42617.99999999999,50,23497.0,38828,61265,inf,0.0,0.0,0.0
hydrababwithheuristic_1_[0-10],openb-pod-1118,0,A100,1122.0,1122.0,470,1122.0,2233,2934,inf,106.0,118932.0,118932.0
hydrababwithheuristic_1_[0-10],openb-pod-1478,2,A100,1177.0,1177.0,480,1177.0,1733,3023,inf,104.0,122408.0,122408.0
hydrababwithheuristic_1_[0-10],openb-pod-1976,3,A100,1414.0,1414.0,650,1414.0,2303,3613,inf,192.50000000000003,272195.00000000006,272195.00000000006
hydrababwithheuristic_1_[0-10],openb-pod-1968,1,A100,1741.0,1741.0,460,1741.0,3215,4277,inf,108.0,188028.0,188028.0
hydrababwithheuristic_1_[0-10],openb-pod-3108,4,A100,2371.0,2371.0,460,2371.0,3879,6213,3899.0,108.0,256068.0,256068.0
hydrababwithheuristic_1_[0-10],openb-pod-3246,0,A100,5757.0,6879.0,590,5757.0,11097,14806,inf,225.50000000000003,1298203.5000000002,1551214.5000000002
hydrababwithheuristic_1_[0-10],openb-pod-1918,2,A100,6416.0,7593.0,650,6416.0,12800,16238,inf,192.50000000000003,1235080.0000000002,1461652.5000000002
hydrababwithheuristic_1_[0-10],openb-pod-2677,3,A100,6936.0,8350.0,230,6936.0,9945,17310,inf,38.5,267036.0,321475.0
hydrababwithheuristic_1_[0-10],openb-pod-3043,1,A100,11165.999999999998,12906.999999999998,810,11166.0,21668,29540,28770.0,161.50000000000003,1803309.0,2084480.5
hydrababwithheuristic_1_[0-10],openb-pod-2722,4,A100,20410.0,22781.0,320,20410.0,32091,54074,inf,34.0,693940.0,774554.0
hydrababwithheuristic_1_[0-20],openb-pod-1118,2,A100,1122.0,1122.0,470,1122.0,2233,2934,inf,106.0,118932.0,118932.0
hydrababwithheuristic_1_[0-20],openb-pod-1478,4,A100,1177.0,1177.0,480,1177.0,1733,3023,inf,104.0,122408.0,122408.0
hydrababwithheuristic_1_[0-20],openb-pod-1976,3,A100,1414.0,1414.0,650,1414.0,2303,3613,inf,192.50000000000003,272195.00000000006,272195.00000000006
hydrababwithheuristic_1_[0-20],openb-pod-1589,1,A100,1528.0,1528.0,460,1528.0,2792,3736,inf,108.0,165024.0,165024.0
hydrababwithheuristic_1_[0-20],openb-pod-1652,0,A100,1710.0,1710.0,470,1710.0,3391,4237,inf,106.0,181260.0,181260.0
hydrababwithheuristic_1_[0-20],openb-pod-1968,8,GTX2080Ti,3215.0,3215.0,460,1741.0,3215,4277,inf,108.0,347220.0,347220.0
hydrababwithheuristic_1_[0-20],openb-pod-1783,6,GTX2080Ti,3215.0,3215.0,160,2026.0,3215,5317,inf,0.0,0.0,0.0
